detector_set,num_detectors,r_contiguous,ngram,min_activations,max_ham_match_ratio,precision,recall,f1,fpr,tp,fp,fn,tn,roc_auc,pr_auc
1k_r7_n3,1000,7,3,1,0.05,0.2901960784313726,0.9487179487179488,0.4444444444444445,0.3774765380604796,148,362,8,597,0.891025641025641,0.30348258706467657
1k_r7_n3,1000,7,3,2,0.05,0.2955465587044534,0.935897435897436,0.4492307692307692,0.3628779979144942,146,348,10,611,0.891025641025641,0.30348258706467657
1k_r7_n3,1000,7,3,3,0.05,0.3060796645702306,0.935897435897436,0.4612954186413902,0.3451511991657977,146,331,10,628,0.891025641025641,0.30348258706467657
1k_r7_n3,1000,7,3,5,0.05,0.3263888888888889,0.903846153846154,0.4795918367346938,0.3034410844629823,141,291,15,668,0.891025641025641,0.30348258706467657
1k_r7_n3,1000,7,3,7,0.05,0.356234096692112,0.8974358974358975,0.5100182149362478,0.2638164754953076,140,253,16,706,0.891025641025641,0.30348258706467657
1k_r7_n3,1000,7,3,10,0.05,0.371191135734072,0.8589743589743589,0.518375241779497,0.2367049009384775,134,227,22,732,0.891025641025641,0.30348258706467657
1k_r7_n3,1000,7,3,15,0.05,0.3939393939393939,0.8333333333333334,0.5349794238683128,0.2085505735140771,130,200,26,759,0.891025641025641,0.30348258706467657
1k_r7_n3,1000,7,3,20,0.05,0.4247491638795986,0.8141025641025641,0.5582417582417583,0.1793534932221063,127,172,29,787,0.891025641025641,0.30348258706467657
1k_r7_n3,1000,7,3,25,0.05,0.4581818181818182,0.8076923076923077,0.5846867749419954,0.1553701772679875,126,149,30,810,0.891025641025641,0.30348258706467657
1k_r7_n3,1000,7,3,30,0.05,0.4959349593495935,0.782051282051282,0.6069651741293531,0.1293013555787278,122,124,34,835,0.891025641025641,0.30348258706467657
1k_r7_n3,1000,7,3,40,0.05,0.5074626865671642,0.6538461538461539,0.5714285714285714,0.1032325338894682,102,99,54,860,0.891025641025641,0.30348258706467657
1k_r7_n3,1000,7,3,50,0.05,0.5,0.5128205128205128,0.5063291139240506,0.0834202294056308,80,80,76,879,0.891025641025641,0.30348258706467657
1k_r7_n3,1000,7,3,60,0.05,0.4758064516129032,0.3782051282051282,0.4214285714285714,0.067778936392075,59,65,97,894,0.891025641025641,0.30348258706467657
2k_r7_n3,2000,7,3,1,0.05,0.2848948374760994,0.9551282051282052,0.4388807069219441,0.3899895724713243,149,374,7,585,0.8942307692307692,0.29927007299270075
2k_r7_n3,2000,7,3,2,0.05,0.2893203883495145,0.9551282051282052,0.444113263785395,0.3816475495307612,149,366,7,593,0.8942307692307692,0.29927007299270075
2k_r7_n3,2000,7,3,3,0.05,0.2938856015779093,0.9551282051282052,0.4494720965309201,0.3733055265901981,149,358,7,601,0.8942307692307692,0.29927007299270075
2k_r7_n3,2000,7,3,5,0.05,0.3024691358024691,0.9423076923076924,0.4579439252336448,0.3534932221063608,147,339,9,620,0.8942307692307692,0.29927007299270075
2k_r7_n3,2000,7,3,7,0.05,0.3141025641025641,0.9423076923076924,0.4711538461538461,0.3347236704900938,147,321,9,638,0.8942307692307692,0.29927007299270075
2k_r7_n3,2000,7,3,10,0.05,0.332579185520362,0.9423076923076924,0.4916387959866221,0.3076120959332638,147,295,9,664,0.8942307692307692,0.29927007299270075
2k_r7_n3,2000,7,3,15,0.05,0.3511450381679389,0.8846153846153846,0.5027322404371585,0.2659019812304484,138,255,18,704,0.8942307692307692,0.29927007299270075
2k_r7_n3,2000,7,3,20,0.05,0.3709677419354839,0.8846153846153846,0.5227272727272727,0.2440041710114703,138,234,18,725,0.8942307692307692,0.29927007299270075
2k_r7_n3,2000,7,3,25,0.05,0.3857142857142857,0.8653846153846154,0.5335968379446641,0.2241918665276329,135,215,21,744,0.8942307692307692,0.29927007299270075
2k_r7_n3,2000,7,3,30,0.05,0.403076923076923,0.8397435897435898,0.5446985446985447,0.2022940563086548,131,194,25,765,0.8942307692307692,0.29927007299270075
2k_r7_n3,2000,7,3,40,0.05,0.4304635761589404,0.8333333333333334,0.5676855895196506,0.1793534932221063,130,172,26,787,0.8942307692307692,0.29927007299270075
2k_r7_n3,2000,7,3,50,0.05,0.45,0.8076923076923077,0.5779816513761469,0.1605839416058394,126,154,30,805,0.8942307692307692,0.29927007299270075
2k_r7_n3,2000,7,3,60,0.05,0.4823529411764706,0.7884615384615384,0.5985401459854015,0.1376433785192909,123,132,33,827,0.8942307692307692,0.29927007299270075
2k_r8_n3,2000,8,3,1,0.05,0.2985685071574642,0.935897435897436,0.4527131782945736,0.3576642335766423,146,343,10,616,0.8525641025641026,0.29972752043596734
2k_r8_n3,2000,8,3,2,0.05,0.3060796645702306,0.935897435897436,0.4612954186413902,0.3451511991657977,146,331,10,628,0.8525641025641026,0.29972752043596734
2k_r8_n3,2000,8,3,3,0.05,0.3072033898305085,0.9294871794871796,0.4617834394904459,0.3409801876955162,145,327,11,632,0.8525641025641026,0.29972752043596734
2k_r8_n3,2000,8,3,5,0.05,0.3265306122448979,0.9230769230769232,0.4824120603015075,0.3096976016684046,144,297,12,662,0.8525641025641026,0.29972752043596734
2k_r8_n3,2000,8,3,7,0.05,0.3341232227488152,0.903846153846154,0.4878892733564013,0.2930135557872784,141,281,15,678,0.8525641025641026,0.29972752043596734
2k_r8_n3,2000,8,3,10,0.05,0.3536895674300254,0.8910256410256411,0.5063752276867031,0.264859228362878,139,254,17,705,0.8525641025641026,0.29972752043596734
2k_r8_n3,2000,8,3,15,0.05,0.3732590529247911,0.8589743589743589,0.5203883495145631,0.2346193952033368,134,225,22,734,0.8525641025641026,0.29972752043596734
2k_r8_n3,2000,8,3,20,0.05,0.3900293255131964,0.8525641025641025,0.5352112676056338,0.2168925964546402,133,208,23,751,0.8525641025641026,0.29972752043596734
2k_r8_n3,2000,8,3,25,0.05,0.4132492113564668,0.8397435897435898,0.5539112050739957,0.1939520333680917,131,186,25,773,0.8525641025641026,0.29972752043596734
2k_r8_n3,2000,8,3,30,0.05,0.4417808219178082,0.8269230769230769,0.5758928571428571,0.1699687174139728,129,163,27,796,0.8525641025641026,0.29972752043596734
2k_r8_n3,2000,8,3,40,0.05,0.4572490706319702,0.7884615384615384,0.5788235294117646,0.1522419186652763,123,146,33,813,0.8525641025641026,0.29972752043596734
2k_r8_n3,2000,8,3,50,0.05,0.4936708860759494,0.75,0.5954198473282444,0.1251303441084463,117,120,39,839,0.8525641025641026,0.29972752043596734
2k_r8_n3,2000,8,3,60,0.05,0.5213270142180095,0.7051282051282052,0.5994550408719347,0.1053180396246089,110,101,46,858,0.8525641025641026,0.29972752043596734
3k_r8_n3,3000,8,3,1,0.05,0.2961460446247465,0.935897435897436,0.4499229583975346,0.3618352450469239,146,347,10,612,0.8685897435897436,0.3002610966057441
3k_r8_n3,3000,8,3,3,0.05,0.3020833333333333,0.9294871794871796,0.4559748427672955,0.3493222106360792,145,335,11,624,0.8685897435897436,0.3002610966057441
3k_r8_n3,3000,8,3,5,0.05,0.3145336225596529,0.9294871794871796,0.4700162074554295,0.3295099061522419,145,316,11,643,0.8685897435897436,0.3002610966057441
3k_r8_n3,3000,8,3,10,0.05,0.3380281690140845,0.9230769230769232,0.4948453608247422,0.2940563086548488,144,282,12,677,0.8685897435897436,0.3002610966057441
3k_r8_n3,3000,8,3,15,0.05,0.3578680203045685,0.903846153846154,0.5127272727272728,0.2638164754953076,141,253,15,706,0.8685897435897436,0.3002610966057441
3k_r8_n3,3000,8,3,20,0.05,0.3732970027247956,0.8782051282051282,0.5239005736137667,0.2398331595411887,137,230,19,729,0.8685897435897436,0.3002610966057441
3k_r8_n3,3000,8,3,30,0.05,0.3911764705882353,0.8525641025641025,0.5362903225806451,0.2158498435870698,133,207,23,752,0.8685897435897436,0.3002610966057441
3k_r8_n3,3000,8,3,40,0.05,0.4276315789473684,0.8333333333333334,0.5652173913043478,0.1814389989572471,130,174,26,785,0.8685897435897436,0.3002610966057441
3k_r8_n3,3000,8,3,50,0.05,0.4593639575971731,0.8333333333333334,0.592255125284738,0.159541188738269,130,153,26,806,0.8685897435897436,0.3002610966057441
3k_r8_n3,3000,8,3,60,0.05,0.4679245283018868,0.7948717948717948,0.5890736342042755,0.1470281543274244,124,141,32,818,0.8685897435897436,0.3002610966057441
3k_r8_n3,3000,8,3,80,0.05,0.5066079295154186,0.7371794871794872,0.6005221932114883,0.1167883211678832,115,112,41,847,0.8685897435897436,0.3002610966057441
