func,n,run,best_f,best_x_json,evals,success,time_s
sphere,2,0,4.548776755944577e-09,"[-2.3335400607113217e-05, 6.327903155430018e-05]",1800,1,0.0028281211853027344
sphere,2,1,3.4120093902280012e-09,"[2.7152889677462683e-05, 5.1717791642640174e-05]",2130,1,0.002146005630493164
sphere,2,2,4.419682177749527e-09,"[-6.510859923775916e-05, 1.3436981917320373e-05]",1530,1,0.0015380382537841797
sphere,2,3,1.2198027708248513e-10,"[1.2776431858099724e-06, -1.097031927394269e-05]",1590,1,0.0015978813171386719
sphere,2,4,7.120006057147985e-09,"[7.81238838606402e-05, 3.188518194517927e-05]",1830,1,0.0018360614776611328
sphere,2,5,3.748099873679012e-09,"[-9.371480864939219e-08, 6.122165541059513e-05]",1500,1,0.001505136489868164
sphere,2,6,3.2100661166705984e-09,"[3.8090052587275615e-05, -4.194298523673746e-05]",1410,1,0.0014138221740722656
sphere,2,7,9.170643714458578e-09,"[-1.2279588504817058e-05, -9.49729194065916e-05]",1530,1,0.0015330314636230469
sphere,2,8,5.5530832107102355e-09,"[-5.443742609395142e-06, -7.431990902250144e-05]",1500,1,0.001531839370727539
sphere,2,9,1.7534581478818234e-09,"[-1.295113846928311e-05, 3.982117728334107e-05]",2040,1,0.0021920204162597656
sphere,2,10,1.4240275686243679e-09,"[5.173022112048818e-06, 3.7380040273555376e-05]",1380,1,0.0014340877532958984
sphere,2,11,1.7566577049227565e-09,"[-1.489108823110755e-05, -3.9177968250231235e-05]",1920,1,0.001997709274291992
sphere,2,12,5.426203723354392e-09,"[6.525238116062695e-05, -3.418084955384592e-05]",1530,1,0.0015480518341064453
sphere,2,13,7.420933836526817e-10,"[2.691747519767613e-05, -4.188426033150403e-06]",1620,1,0.0016312599182128906
sphere,2,14,4.601953622220103e-09,"[-5.4051981143464394e-05, 4.099191330844015e-05]",1920,1,0.001928091049194336
sphere,2,15,4.98799736130164e-09,"[-2.0948402573833634e-05, -6.744747431080159e-05]",1290,1,0.0013246536254882812
sphere,2,16,9.322586710710215e-09,"[-9.27452673476873e-05, 2.6849620021821957e-05]",1800,1,0.0018849372863769531
sphere,2,17,3.3130817418234487e-09,"[-5.287806682350009e-05, 2.273745348170959e-05]",1740,1,0.0017616748809814453
sphere,2,18,2.334960397715842e-09,"[-3.5075962843209973e-06, -4.819395362513912e-05]",1620,1,0.0016491413116455078
sphere,2,19,9.054938044022144e-09,"[-4.335876136135164e-05, 8.470511116356264e-05]",1650,1,0.0016939640045166016
sphere,2,20,8.867729790214255e-09,"[1.4227587742571908e-05, 9.308762290037098e-05]",1020,1,0.0010650157928466797
sphere,2,21,2.769097641141014e-09,"[-4.585484812306441e-06, 5.24220466042401e-05]",1680,1,0.0018029212951660156
sphere,2,22,6.800169731654821e-09,"[1.7945543066314742e-05, 8.048681392445513e-05]",1860,1,0.0018801689147949219
sphere,2,23,6.1593977931446896e-09,"[-4.4578753420667847e-05, 6.459204700738307e-05]",1890,1,0.0019528865814208984
sphere,2,24,5.437705227724939e-09,"[-6.848059716869963e-05, 2.7351655144492208e-05]",1410,1,0.0014300346374511719
sphere,2,25,8.090293168580427e-09,"[6.249416258008526e-05, 6.468982000279718e-05]",1770,1,0.0017690658569335938
sphere,2,26,3.250610714663141e-09,"[4.69244296490251e-05, -3.238377088568957e-05]",1470,1,0.001486063003540039
sphere,2,27,2.84050373948701e-09,"[-4.860474901232197e-05, 2.186508890757585e-05]",1650,1,0.0016469955444335938
sphere,2,28,2.0344976014783802e-09,"[-4.507546077340977e-05, -1.643300807270976e-06]",1290,1,0.0012989044189453125
sphere,2,29,1.9138765505634464e-10,"[-9.049634550113119e-06, 1.0463831495477341e-05]",1860,1,0.0018749237060546875
sphere,10,0,4.054244725373991e-09,"[1.8730306301662824e-05, 1.9607485279682463e-05, 1.5038151783120305e-06, 5.2409492999655184e-05, 1.3417008322422159e-05, 1.2667082792040929e-05, 1.4542144366051134e-06, 8.005541660338519e-06, -1.2313678408204802e-05, 3.413098889189737e-06]",4830,1,0.005368232727050781
sphere,10,1,9.528609807708706e-09,"[-4.626983443480786e-05, 1.2194043846501854e-06, 3.164559111658343e-05, 3.773432625850466e-05, 2.760276872089912e-05, -4.149770300554242e-05, 1.7859645629479735e-05, 2.58585079880423e-05, 2.729859847198262e-05, -2.727796574199016e-05]",4620,1,0.005144834518432617
sphere,10,2,7.2564866646149656e-09,"[6.612019938162758e-06, -4.365812397181382e-05, 3.4773001839639464e-06, -1.1130269821347655e-05, -1.476461044781061e-05, 8.040762735114127e-06, 3.170712070469377e-05, 1.8404426587920975e-05, 5.838076468778072e-05, 1.1650573006012466e-05]",4800,1,0.005307197570800781
sphere,10,3,8.472540957378584e-09,"[-2.6158809714884175e-05, 3.596381883779975e-05, -2.234514791379237e-05, -5.322459871979711e-05, 1.2725220981482202e-06, -1.589888142028622e-05, 5.043857270755059e-05, 1.7926005153680492e-06, 1.8180208003357243e-05, 5.5245889235128464e-06]",4470,1,0.00496983528137207
sphere,10,4,7.934249056131871e-09,"[3.492303253873751e-05, 2.2393648132027276e-05, -9.545141295266446e-06, -1.084694105361385e-05, 4.733046550675287e-06, 4.5042967716318205e-05, -4.005205122868574e-05, -3.13154808386926e-05, -3.411608456154333e-05, -1.4296345031637294e-05]",4920,1,0.005480766296386719
sphere,10,5,7.43384562413693e-09,"[-3.861954051238235e-06, -1.963933312966265e-05, 2.8339036331098016e-05, -4.3003983349123956e-06, -8.776591183299755e-07, 6.006851894021332e-06, -4.3354958838848616e-05, -4.7716944390084806e-05, 2.1609327367423672e-05, 3.9386016565896765e-05]",4950,1,0.005583047866821289
sphere,10,6,8.649716652892963e-09,"[1.2774057913317015e-05, 3.1595237919731386e-05, -3.812086467767727e-05, 2.0714153996809627e-06, -8.900341224233383e-06, -6.552336954749292e-05, 2.2969420710117595e-05, -3.337145560055702e-05, 3.969939008655109e-06, 1.1194505027265343e-06]",4470,1,0.0049550533294677734
