func,n,run,best_f,best_x_json,evals,success,time_s
sphere,2,0,6.425172593025076e-09,"[4.024640744626178e-05, 6.932098730322989e-05]",1560,1,0.0034439563751220703
sphere,2,1,3.5573027856194367e-09,"[-4.10062805174978e-05, -4.3310365315241996e-05]",1560,1,0.0032711029052734375
sphere,2,2,2.0550597918855307e-09,"[-2.5919130158472007e-06, -4.52586099963732e-05]",1620,1,0.003435850143432617
sphere,2,3,2.1300427242920817e-09,"[2.4861947932397445e-05, 3.888349610437364e-05]",1350,1,0.0028498172760009766
sphere,2,4,7.4357288871039465e-09,"[6.737502479356786e-05, 5.3817607910144644e-05]",1800,1,0.003793001174926758
sphere,2,5,4.768491674050867e-09,"[-5.4519176280122306e-05, 4.238102277892568e-05]",1920,1,0.0040340423583984375
sphere,2,6,8.289470002564589e-09,"[8.760146437175259e-05, -2.4808334133696918e-05]",1710,1,0.003582000732421875
sphere,2,7,6.291290221390857e-10,"[2.2200545177737587e-05, -1.1673252158259843e-05]",1980,1,0.004174709320068359
sphere,2,8,6.844931590097e-09,"[7.125755074532968e-05, -4.203918471942297e-05]",1740,1,0.003639698028564453
sphere,2,9,6.492353645640483e-09,"[-4.990493932249484e-05, 6.32601823966592e-05]",1980,1,0.004305124282836914
sphere,2,10,6.335444251780007e-09,"[-3.841518491235247e-05, 6.971167635288778e-05]",1920,1,0.0042150020599365234
sphere,2,11,6.5813251351665115e-09,"[-6.904091571226077e-05, 4.259902689943769e-05]",1740,1,0.003824949264526367
sphere,2,12,5.14635326661169e-10,"[-2.1151503884492245e-05, 8.200561571348542e-06]",1770,1,0.0040361881256103516
sphere,2,13,5.889685626074163e-09,"[2.2476873561399713e-06, 7.671136504862374e-05]",1920,1,0.004180908203125
sphere,2,14,7.51630819644764e-09,"[7.140928677915807e-05, -4.916321753241544e-05]",1770,1,0.0039141178131103516
sphere,2,15,1.5042481035227857e-09,"[3.878135473260033e-05, -5.046073988791797e-07]",1950,1,0.004180908203125
sphere,2,16,5.022385853060371e-10,"[-1.4858334588211113e-05, 1.6777022339223562e-05]",1860,1,0.00394129753112793
sphere,2,17,6.252056377904435e-09,"[7.90085955158313e-05, 3.114195324670227e-06]",2040,1,0.0042781829833984375
sphere,2,18,9.3904890226314e-09,"[6.0811380373129666e-05, -7.544842635698865e-05]",1410,1,0.0031311511993408203
sphere,2,19,9.663570478270111e-09,"[-9.812381334930087e-05, -5.940347806456664e-06]",1680,1,0.003712177276611328
sphere,2,20,2.4598015608651557e-09,"[4.1050593174777683e-05, -2.7832541401461193e-05]",1800,1,0.0038988590240478516
sphere,2,21,7.354300339721968e-10,"[2.519422120080342e-05, 1.0034004786583692e-05]",1680,1,0.003580808639526367
sphere,2,22,5.855253226498066e-09,"[6.795306190062215e-05, -3.518003133637433e-05]",1890,1,0.0040187835693359375
sphere,2,23,9.470470771662059e-09,"[-8.870770978818717e-05, 4.0017658549655556e-05]",1740,1,0.003756999969482422
sphere,2,24,8.54523533077491e-11,"[9.737629916518257e-07, -9.192613281534168e-06]",1740,1,0.003698110580444336
sphere,2,25,9.68937413500244e-09,"[-5.338127173946765e-05, 8.270316778987098e-05]",2070,1,0.004583120346069336
sphere,2,26,9.048784997594929e-09,"[9.20155328141051e-05, -2.4123157308513274e-05]",2070,1,0.004523038864135742
sphere,2,27,2.5667672304235922e-09,"[4.898622488204473e-05, 1.2927374142854156e-05]",1830,1,0.003843069076538086
sphere,2,28,1.1305710416178123e-09,"[-3.3131328827482e-05, -5.734639634979039e-06]",1710,1,0.0035910606384277344
sphere,2,29,7.985302908457105e-09,"[-2.6069142570705103e-05, 8.547340354803567e-05]",2160,1,0.004581928253173828
sphere,10,0,8.695420739190103e-09,"[6.014677284793822e-05, 2.4986570331944535e-05, -7.957090735632287e-06, -1.89803029422533e-05, 4.937523898585227e-06, -5.87949983714975e-05, -1.4970377922126355e-05, 1.449410114256002e-05, 1.0678292588288699e-05, 6.651872247549709e-07]",7230,1,0.016065120697021484
sphere,10,1,9.087259165178514e-09,"[-4.315500190600726e-05, -1.1767669187517522e-05, -8.438731655469407e-06, 1.3966961985241802e-05, 6.303065057947034e-05, -6.793318916099623e-06, 3.1204688350797675e-05, 1.073184259647356e-05, 4.077725276277916e-05, 7.031163536810183e-06]",5880,1,0.013197898864746094
sphere,10,2,5.200205003906659e-09,"[1.4912383715541946e-05, 2.840405317065683e-05, -1.04144655061098e-05, -4.850259282391686e-05, 2.0264160566922085e-07, 2.2239853942859138e-05, -4.449899211511977e-06, -1.4685698433105864e-05, 3.0357469388134332e-05, -7.640256589452e-06]",6600,1,0.014676332473754883
sphere,10,3,9.571809431363691e-09,"[-5.116896681794097e-05, 1.721739017534367e-05, 5.148267658497246e-06, -3.989397358143698e-05, 1.2017636196798871e-05, 2.31408556782448e-05, 4.049733382279373e-05, 3.222056348603137e-05, 2.273152255189462e-05, -3.412081911060718e-05]",7110,1,0.015736103057861328
sphere,10,4,7.301498393130841e-09,"[3.569678908426453e-05, -1.7551245731614197e-05, -9.466218037319984e-06, 1.360450332154324e-05, 4.808175578870607e-05, 3.410157646551689e-05, -1.3942425941142555e-05, 4.181452859346776e-06, -4.0167934263279414e-05, -1.2016161268904436e-05]",6780,1,0.015110969543457031
sphere,10,5,9.80366195866788e-09,"[7.774581539710119e-06, -1.3378689782906025e-05, 1.5074972790059448e-05, -4.667194843687392e-05, 3.2731623930355524e-05, -5.46270389014288e-05, -3.440660186924872e-05, -1.5095097480997751e-05, 1.3576955681968305e-05, 3.882293645168292e-05]",7260,1,0.016097068786621094
sphere,10,6,9.682275203151578e-09,"[2.5527213406281458e-05, -1.8254648675919476e-06, -4.465634892525116e-06, 6.746975816599602e-05, -3.356252627248776e-06, -9.002278599012945e-06, -3.646794771373418e-05, -1.9385255264213167e-05, -1.5803892700493853e-05, -4.9065530534545005e-05]",6630,1,0.014820098876953125
