func,n,run,best_f,best_x_json,evals,success,time_s
sphere,2,0,2.857975813376898e-10,"[-1.323722799717204e-05, -1.051538759573676e-05]",2250,1,0.003323078155517578
sphere,2,1,1.5174307570744922e-09,"[-3.891789346159245e-05, 1.6817626427744663e-06]",1800,1,0.0018298625946044922
sphere,2,2,7.973288282126993e-09,"[-7.165016287679401e-05, 5.328735724218159e-05]",2280,1,0.0023000240325927734
sphere,2,3,1.7622899238738057e-09,"[-3.528191193366938e-05, -2.274811232121478e-05]",2040,1,0.0020558834075927734
sphere,2,4,3.994227212280035e-09,"[6.507931789123396e-06, 6.286393271271018e-05]",2100,1,0.002112865447998047
sphere,2,5,6.863969981068634e-09,"[-7.939195121516637e-05, -2.3683075461545904e-05]",1200,1,0.0012171268463134766
sphere,2,6,1.21736164168088e-10,"[6.337342811601511e-06, -9.031846447783015e-06]",1710,1,0.0017228126525878906
sphere,2,7,8.427836229207799e-09,"[-8.528132614058241e-05, -3.398428520524471e-05]",1920,1,0.001958131790161133
sphere,2,8,1.2893485769556855e-10,"[-5.896806226060982e-06, -9.703738147119232e-06]",1680,1,0.0016939640045166016
sphere,2,9,2.745149606181248e-10,"[-1.639751064830752e-05, 2.3741535663824036e-06]",1560,1,0.0015749931335449219
sphere,2,10,1.9162586588591417e-09,"[4.1114800348492206e-05, 1.5027702790605327e-05]",2010,1,0.0020270347595214844
sphere,2,11,8.779466545629326e-09,"[-3.181182626000589e-05, 8.813327552991847e-05]",1740,1,0.0017468929290771484
sphere,2,12,7.897339641400186e-09,"[-1.5671205172439998e-05, -8.747429891027122e-05]",1860,1,0.0018770694732666016
sphere,2,13,6.176195937985735e-09,"[7.323617398512228e-05, 2.8507170291115075e-05]",1080,1,0.0010988712310791016
sphere,2,14,7.760821462787245e-10,"[5.667485517439707e-07, -2.7852485389239873e-05]",1590,1,0.0016026496887207031
sphere,2,15,9.553619669365566e-09,"[-6.789528162800217e-05, 7.031251952547169e-05]",2040,1,0.0020487308502197266
sphere,2,16,2.719931304626506e-09,"[4.553356087735167e-05, 2.542884461502362e-05]",1710,1,0.0017209053039550781
sphere,2,17,7.171688566790074e-10,"[-2.5112926647102244e-05, 9.301062944431105e-06]",1860,1,0.0018749237060546875
sphere,2,18,9.799295875581793e-09,"[6.0040900511571976e-05, 7.870442262885427e-05]",1680,1,0.0016851425170898438
sphere,2,19,7.081541004636431e-09,"[7.436118002463398e-05, -3.93948716203062e-05]",1770,1,0.0017726421356201172
sphere,2,20,1.5286313029197148e-09,"[3.64173876220342e-05, 1.422691750542699e-05]",2040,1,0.00203704833984375
sphere,2,21,6.542025377977207e-09,"[-6.82737844706552e-05, 4.336721955615472e-05]",1890,1,0.0019042491912841797
sphere,2,22,4.7097376952965026e-09,"[5.6115609249797666e-05, -3.950665885417957e-05]",2040,1,0.002048015594482422
sphere,2,23,8.394671180357628e-09,"[1.8349135504389037e-05, -8.97662542751963e-05]",1920,1,0.0019240379333496094
sphere,2,24,7.907782498158179e-09,"[7.381539596073119e-05, 4.958900903747371e-05]",1830,1,0.0018379688262939453
sphere,2,25,8.18293379537856e-10,"[-2.8040095611490563e-05, 5.660955540924485e-06]",1980,1,0.001978158950805664
sphere,2,26,6.723513754933223e-09,"[-2.7769084408142556e-05, 7.715174467286322e-05]",1620,1,0.001626729965209961
sphere,2,27,1.085568076238686e-09,"[-3.2801292796590636e-05, -3.105361027484104e-06]",2040,1,0.0020411014556884766
sphere,2,28,2.311430845354333e-09,"[4.73367071257048e-05, -8.406366863846783e-06]",1680,1,0.0016870498657226562
sphere,2,29,6.298792173099813e-10,"[1.700327477472904e-05, -1.845989881459388e-05]",1980,1,0.0019860267639160156
sphere,10,0,8.622163841980187e-09,"[2.456111618950227e-05, 4.15928823022525e-05, 3.750507548522015e-05, 2.4374919329664798e-05, 5.276976379253121e-05, -5.039109902371455e-06, -3.505381020999922e-05, -5.753376752547099e-06, 1.2436278218446905e-05, 7.849051297288844e-06]",5190,1,0.005780935287475586
sphere,10,1,7.467505784463195e-09,"[-3.767062158444316e-05, -3.928241200242401e-05, 2.8269235793105537e-05, 5.212237982808714e-05, 2.1280672678297707e-05, -1.2982551183848148e-05, -6.4007129200762514e-06, -5.9469078778892815e-06, 1.3275334967800131e-06, 1.702701208805057e-05]",5160,1,0.005728006362915039
sphere,10,2,9.956310899035658e-09,"[2.1108754841521888e-05, -3.499032689469236e-05, -5.337413459737325e-06, 1.2069370861190774e-05, -5.1716721031673445e-05, -2.5036318542760415e-05, 1.7326655355016023e-05, -4.550745901260051e-07, -6.53706699230225e-05, 1.5397066316420822e-05]",5700,1,0.0063402652740478516
sphere,10,3,7.55334587706348e-09,"[5.4529365336641005e-05, 1.416016882527557e-05, 1.7156217973116563e-05, 1.8522373973326946e-05, -1.7471143395008347e-07, 2.4255797648415713e-05, -1.7109594724532928e-07, 4.889457885241165e-05, -1.5970837610222153e-06, -2.757418401283732e-05]",5040,1,0.005650043487548828
sphere,10,4,8.801485127785385e-09,"[-4.9295094488901656e-05, -6.0252119847640044e-05, -2.739650210529062e-05, -3.0823324908997574e-07, -2.942770768435273e-06, 1.5265222527080107e-05, -5.565960122601205e-06, -2.9858789535281877e-05, -1.5057917471738083e-05, 2.4485556637721627e-05]",5430,1,0.006033182144165039
sphere,10,5,9.276970762052848e-09,"[2.5859571435001617e-05, 3.110901500979835e-05, 4.981590964381853e-06, -2.832500273394264e-05, 2.0787121528181726e-05, 3.600147407921772e-05, 5.052608446946427e-05, 7.940795774831681e-06, 4.493007020774762e-05, -2.122492092863087e-05]",4740,1,0.005273103713989258
sphere,10,6,9.586514724972107e-09,"[-2.141780808861538e-05, -4.06927826763329e-05, 3.868852900956512e-05, 7.487626513901866e-06, -9.19070828866939e-06, -4.3245826627807833e-05, -3.793583312866316e-05, 3.3407791836110665e-05, -1.4327916864297741e-05, 3.469661367052562e-05]",4950,1,0.005593061447143555
sphere,10,7,8.536176652713285e-09,"[2.829033337448058e-05, 2.03677937803639e-05, -9.484311366373268e-06, -2.676198768082461e-05, -5.107717932487842e-06, -3.236076168079789e-05, -1.977846129823305e-05, 7.042813633781816e-05, 1.5946242423607297e-06, 9.36323102428294e-06]",5430,1,0.006026029586791992
sphere,10,8,7.6674590661255e-09,"[4.4385114787026865e-05, 3.2302206463308896e-05, 5.321970773086953e-06, -1.569250083167626e-06, -3.5232262126285186e-05, 9.069164113722067e-06, 8.55146727887593e-06, 1.451375801577147e-06, 5.349293423741701e-05, -1.9050250927796122e-05]",4980,1,0.005557060241699219
sphere,10,9,7.425554622958476e-09,"[-3.101916685571104e-05, -3.8779270663098226e-05, -2.0286108173952023e-05, 2.1920757362624174e-05, -2.534281631246218e-05, -6.502605874492754e-06, 9.279103433824335e-06, 4.865186313836104e-05, 3.027216342869559e-05, 3.665602453705472e-06]",5100,1,0.005641937255859375
sphere,10,10,7.458708403895654e-09,"[-3.155313244676039e-05, -5.567857299870564e-05, -3.779772005198408e-06, -1.7582737451861586e-05, 9.04422229126213e-06, 1.8033013198417682e-05, 1.138753526972903e-06, 4.828629210036146e-05, -3.4770004486894847e-06, -1.6959528130918092e-05]",4620,1,0.005122184753417969
sphere,10,11,9.690462004623047e-09,"[-1.0023778967984562e-05, 9.110931366588451e-05, -1.6055381555328692e-05, -1.5844784027526234e-05, -1.1714171977297656e-05, 1.1880991635311142e-05, -2.69937455007023e-06, 1.5951960182027045e-05, -3.7240493013264476e-06, 1.5041488564237109e-05]",5640,1,0.006287813186645508
sphere,10,12,7.741181153242548e-09,"[-1.717390758144189e-05, 6.649008162653181e-06, 2.5178821918995973e-05, -1.5056355443105043e-07, 2.0552873134613438e-06, 2.8318415724758596e-05, 3.0139816170340075e-06, -1.2308152035703303e-05, 5.001971001474243e-05, -5.7439794939443485e-05]",4920,1,0.005444765090942383
sphere,10,13,8.283792262551239e-09,"[6.201875983557722e-06, 2.4918837347445092e-05, -2.4143767815953435e-05, 3.202369286025935e-05, 4.853121450023857e-05, 2.2264591469664115e-05, 1.0587263933906752e-05, -3.1118007976184372e-06, 5.515436362771681e-05, -1.0835174943726623e-06]",5040,1,0.0056040287017822266
sphere,10,14,8.950700684265275e-09,"[4.073203302386728e-05, 6.158179756380981e-05, 3.7482680182466263e-06, 1.848175998491734e-05, 3.964340338941116e-06, -1.0953884793117374e-05, 4.116356139197176e-06, 4.369226147527392e-05, 5.309931369519322e-06, 3.2462322087611724e-05]",5550,1,0.0061419010162353516
sphere,10,15,9.934271312958324e-09,"[1.5269736614480813e-05, 2.9561396769047393e-05, 3.946311135490527e-05, -5.042711717076579e-05, -9.003994905805698e-06, 3.221427223321675e-05, 3.345479128577358e-05, 3.4078687582698604e-05, 3.334267715847462e-05, -1.4691956526418794e-05]",5400,1,0.00596308708190918
sphere,10,16,9.536668814278863e-09,"[1.148358088144862e-05, -3.361615338585381e-05, 3.6265851633413495e-05, -2.386116510938012e-05, -8.513293334058572e-06, 3.59547639597064e-05, -3.88186442529443e-05, 2.540998548607935e-05, 9.167237953945804e-06, 5.28050116025873e-05]",5190,1,0.005773782730102539
sphere,10,17,9.372022433824285e-09,"[-4.735038968850024e-06, -2.2938511236886568e-05, -5.775252703709966e-05, -4.027798446226433e-06, -8.470060097569332e-06, -2.7185414797172428e-05, 1.7880474971651092e-05, 6.162472744663534e-05, 2.1451688458918345e-05, -9.141496100499832e-06]",5220,1,0.005776166915893555
sphere,10,18,5.501234683541475e-09,"[3.414472462478482e-05, 4.0327261263054995e-05, 2.1932936000066668e-05, -1.9626625559318096e-05, -1.326186155839148e-05, 1.5316395000765607e-05, 3.578769327832707e-06, 1.1168799794376322e-05, -3.220792468614177e-05, -1.6045476972698466e-05]",5340,1,0.005908012390136719
sphere,10,19,6.926310246021396e-09,"[1.7658176160707338e-05, 2.3068178227792676e-05, -5.650746883377972e-05, -1.117627468884051e-06, 2.253263933243097e-05, -3.4385706989057125e-05, -5.838403640208748e-06, -1.0802052885575133e-05, 1.9272372652297327e-05, 2.599466785918479e-05]",5040,1,0.005608797073364258
sphere,10,20,8.9973589211054e-09,"[2.250161387927497e-06, 4.129869046016114e-05, 3.4800323270862254e-05, 2.3940992488929926e-05, -9.308481545829944e-06, 4.736089720189601e-05, 5.1876156319833694e-05, -9.343371311264655e-06, 1.937392792392881e-05, 4.358275158680171e-06]",5310,1,0.0058689117431640625
