func,n,run,best_f,best_x_json,evals,success,time_s
sphere,2,0,9.784822978689279e-09,"[-6.583835834559823e-06, -9.86989163283612e-05]",1800,1,0.003874063491821289
sphere,2,1,4.196874639842127e-09,"[-3.417306246534389e-06, 6.469309590566465e-05]",2040,1,0.0043261051177978516
sphere,2,2,5.269184775896813e-09,"[-6.412195298784682e-05, 3.402293227987817e-05]",2190,1,0.004616975784301758
sphere,2,3,9.251916115270224e-09,"[9.149983498114124e-05, -2.9659674875057987e-05]",1860,1,0.0038909912109375
sphere,2,4,8.73090176566177e-09,"[-6.033502571041479e-05, 7.134834572844248e-05]",2040,1,0.004320859909057617
sphere,2,5,4.550435357116037e-10,"[-1.0217457929241917e-05, 1.8725573133439072e-05]",2100,1,0.00440216064453125
sphere,2,6,1.8860141461326762e-10,"[6.749076757757627e-06, 1.1960408752679125e-05]",1950,1,0.004103899002075195
sphere,2,7,5.588605392277109e-09,"[6.427463299897584e-05, 3.8175606676568675e-05]",1710,1,0.0035810470581054688
sphere,2,8,8.340743071770411e-09,"[7.211483673025157e-05, -5.603742852004873e-05]",1980,1,0.004361867904663086
sphere,2,9,2.6944344875945734e-09,"[-5.1819147766499686e-05, -3.0348661170212683e-06]",2220,1,0.00467991828918457
sphere,2,10,9.752427008581014e-09,"[-3.449128386235901e-05, 9.253528162872356e-05]",2370,1,0.005311012268066406
sphere,2,11,7.440436529516386e-09,"[-7.824660203310308e-05, 3.630297232720173e-05]",2340,1,0.004945993423461914
sphere,2,12,3.235708334830363e-09,"[1.4752375875354235e-05, 5.493701612631168e-05]",2010,1,0.0042266845703125
sphere,2,13,2.3496161985678878e-09,"[-2.7389805337601665e-05, 3.999268385762795e-05]",1680,1,0.0035130977630615234
sphere,2,14,3.1172152427755313e-09,"[-5.222889581286668e-05, 1.9732148513130782e-05]",1500,1,0.0031180381774902344
sphere,2,15,1.5137147339204e-09,"[2.9969929733114197e-05, -2.4809636146316165e-05]",1770,1,0.003734111785888672
sphere,2,16,6.573796518660401e-10,"[-1.712097228268863e-05, -1.9085386031239917e-05]",2190,1,0.004585981369018555
sphere,2,17,5.482212411721246e-09,"[-6.834384127534093e-05, 2.8483886171873585e-05]",2220,1,0.004707813262939453
sphere,2,18,8.545338107020606e-09,"[9.243900546476494e-05, -6.069396228323374e-07]",2040,1,0.004273891448974609
sphere,2,19,4.034376827496334e-09,"[-6.314457426451472e-05, 6.8658261301550715e-06]",1980,1,0.004147052764892578
sphere,2,20,8.794237757012148e-10,"[1.2227370240970955e-05, 2.7016942696971334e-05]",2190,1,0.004628896713256836
sphere,2,21,5.970108352075392e-09,"[-7.725899887243111e-05, 1.074916417718197e-06]",2040,1,0.004251241683959961
sphere,2,22,4.2082019833431e-09,"[-2.3381711167627986e-06, -6.482850406396739e-05]",2100,1,0.00438237190246582
sphere,2,23,7.873377682239982e-09,"[2.793411183880007e-06, -8.868807437416689e-05]",2310,1,0.0048520565032958984
sphere,2,24,6.996763860454606e-09,"[-2.0948789334693073e-05, 8.098093655833609e-05]",1980,1,0.004155874252319336
sphere,2,25,3.495342994775879e-09,"[5.710940747970884e-05, -1.52924351263118e-05]",2010,1,0.004230022430419922
sphere,2,26,2.8282694353727415e-09,"[2.2056868856502052e-05, 4.83917758675977e-05]",2490,1,0.005235910415649414
sphere,2,27,7.273231931643486e-09,"[-3.721630700546756e-05, 7.673446699181712e-05]",1770,1,0.003725767135620117
sphere,2,28,4.672389642787163e-09,"[2.6413791762485144e-05, -6.304523175875583e-05]",2190,1,0.004586935043334961
sphere,2,29,2.2558106138471714e-09,"[4.735158501641693e-05, 3.6929676792805824e-06]",2130,1,0.004475831985473633
sphere,10,0,9.579426039845038e-09,"[-7.022557836495915e-07, -3.1132826798195093e-07, 1.5475453634693215e-05, -8.221952240952647e-05, 1.9968846208517323e-05, -2.0295639419953256e-05, -2.497235271317975e-05, 2.4539183668869708e-05, -1.4636461293868992e-05, 1.8127677407259878e-05]",7440,1,0.016484975814819336
sphere,10,1,8.791771456055047e-09,"[-1.3682022562729499e-05, -1.4363570554169256e-05, -1.1629432411265052e-05, -1.5487648042104926e-05, 2.1601125387536954e-05, 3.27841519237815e-05, 7.164435994571926e-05, -4.194450817185775e-06, -2.541168933749193e-06, 3.639747396303769e-05]",7890,1,0.0175778865814209
sphere,10,2,6.325840521216167e-09,"[-3.367896733839287e-05, 4.139200667305061e-06, 1.2976044808587956e-05, -5.708336575470436e-05, -7.669158848827969e-06, 1.3267873599079808e-05, 2.6286538638150527e-05, 1.0265693537132201e-05, 1.992702419829616e-05, -1.7867315837838762e-05]",7290,1,0.016543149948120117
sphere,10,3,9.674157220159632e-09,"[2.014475592512609e-05, -2.2758985122489017e-06, 3.407281095773915e-05, -4.000882835747104e-06, 5.2780882890851295e-05, -1.7202229559028544e-05, 2.9620153163396826e-05, 5.5805150363495376e-05, -2.010314358450404e-05, 2.4673059027562686e-05]",6570,1,0.015006065368652344
sphere,10,4,9.223617424837502e-09,"[6.32396862529791e-05, -1.7063496734150753e-05, -1.2821462870453458e-06, -2.447275478699035e-05, 7.22224338903786e-06, -1.2719021587709547e-05, -1.1938286054852297e-05, -3.0363383062236386e-07, -6.161246171039483e-05, 1.3416122596927242e-05]",7260,1,0.01619100570678711
sphere,10,5,9.542126321612324e-09,"[-1.2691930677606239e-05, -2.051269362032934e-05, 5.822787758235451e-05, -5.111823030790525e-05, 1.2411629725680605e-05, -3.2245688559887595e-05, -1.7338068738601412e-05, 4.895723671749857e-07, 2.929233307546902e-05, -2.457619480977287e-05]",7440,1,0.0164639949798584
sphere,10,6,9.589660216121313e-09,"[1.784699500079525e-05, -3.3518828478734224e-05, -2.061871741201144e-05, 3.978474656339762e-05, -6.620878886001819e-06, -4.466430188539913e-05, -5.2701084207867834e-05, -1.8934490842473642e-06, 6.619351808307515e-06, 3.572302354968297e-05]",7410,1,0.016299962997436523
sphere,10,7,9.375085708194645e-09,"[-2.0331501374932754e-05, -4.0073080393950334e-05, -9.789724399711495e-07, -1.4966707071089516e-05, 3.512985884756843e-05, -8.56551000476231e-06, -1.11836802711342e-05, 3.504721189213523e-05, 6.524545329630898e-05, 1.4597170761279048e-05]",7020,1,0.01556396484375
sphere,10,8,8.138029199826857e-09,"[3.854821664163061e-05, 4.138484618516764e-05, 3.288957196878203e-05, -2.0978138751609684e-05, -7.71072807955138e-06, -6.151014013829853e-06, -8.924856588998766e-06, 3.760372781160062e-05, -4.130906732007753e-05, -1.0960369327826185e-05]",7470,1,0.016499042510986328
sphere,10,9,9.021511811807174e-09,"[4.668857873102382e-05, -2.5733509899193492e-05, 1.4944991958426317e-05, -4.2294935677533174e-05, 2.804316842375368e-05, -5.237826925071182e-05, -1.2969172592854878e-05, 2.3012515522056104e-06, -2.08099035618233e-06, -2.143670742657998e-05]",7530,1,0.016809940338134766
sphere,10,10,5.165051638212404e-09,"[-1.427726213387747e-05, -1.7654351240077114e-05, 1.9680238504966185e-05, 2.2378733169992492e-05, -6.241165406670931e-06, 1.3880352439373319e-06, 3.266516378049158e-05, 3.1814190981152615e-05, -8.938793973559799e-06, 3.9515557984086294e-05]",6990,1,0.015421152114868164
sphere,10,11,7.041984454517318e-09,"[-1.878281319170429e-05, -2.9275634206800886e-05, 3.771041418942345e-05, -1.594065794486027e-05, 1.1838096520862963e-05, -4.648225922544501e-05, -1.3411221476029246e-05, 3.396166479380267e-05, -1.1646730561609394e-06, -2.2816545719002576e-05]",8070,1,0.017796039581298828
sphere,10,12,8.102172773067707e-09,"[2.5892062118687553e-05, 4.160377654880042e-05, 2.9029611998076927e-05, -7.734139079986071e-06, 2.4920498833852302e-05, -1.6136240323263944e-05, -5.0964821724517175e-05, 8.018283569106574e-07, 1.471687212813202e-05, -3.320109287147097e-05]",8070,1,0.01800394058227539
sphere,10,13,9.594168960146574e-09,"[-2.6521622632116057e-05, -4.401204387658874e-05, -4.3607259284178124e-05, -4.555240449184226e-05, 2.3284263440002224e-05, 4.246715336245658e-05, 1.8142786507806142e-05, -2.957444437126838e-06, 1.5903374565696107e-05, -6.376309947633884e-06]",7680,1,0.017073869705200195
sphere,10,14,8.898475587668938e-09,"[6.5129018849294615e-06, -2.3506198650947066e-05, -1.1161705309193967e-06, -2.305845907566455e-05, 4.141401222250538e-05, -2.1843219896399047e-05, -3.1096736723386176e-05, -5.5731907206556045e-05, -1.5758170427192148e-05, 3.545361526481856e-05]",7620,1,0.01688385009765625
sphere,10,15,9.594698710800123e-09,"[2.7089696146017026e-05, 5.815437115292229e-05, 3.201642502020833e-05, 2.8116101688713588e-05, -9.534893438035452e-06, 2.6448053089547168e-05, 4.2828750019874065e-05, 7.430690598017603e-06, -2.2725687958971464e-05, 2.1609302504731126e-05]",7470,1,0.016530990600585938
sphere,10,16,7.433505846808976e-09,"[4.62510178362487e-05, -2.2514290663303737e-05, 3.482360305812044e-05, -1.977851520368906e-05, 9.736792002236265e-06, -3.582698489129524e-05, 2.2929000823018767e-05, 2.0897126828348144e-05, 2.2635878110835824e-06, -2.8942220632489504e-05]",8250,1,0.0181581974029541
