func,n,mean,median,min,max,std,success_rate
ackley,2,6.69814673503725e-05,7.50866016212548e-05,1.4687513858024914e-05,9.945507358510852e-05,2.5149049175240495e-05,1.0
ackley,10,8.949728497329446e-05,9.356402742222159e-05,4.261895811952243e-05,9.988995250909129e-05,1.242054686605228e-05,1.0
ackley,30,1.1240615886168144,1.2508267270108449,0.0148973473437377,2.958972193230498,0.9551758706050345,0.0
rastrigin,2,4.539829477903841e-05,3.35680801555327e-05,2.210000168645365e-06,9.41352711194554e-05,3.0550179410528904e-05,1.0
rastrigin,10,8.830225925894549,8.954624677838893,0.995543256514452,28.853696602942748,6.2726338550052505,0.0
rastrigin,30,66.06727670636876,62.18800399856718,37.26393199671168,137.82275131337104,22.342023626517253,0.0
rosenbrock,2,6.455083635462301e-09,7.803085107960165e-09,4.961623311524142e-10,9.995147760659001e-09,3.1730971288341294e-09,1.0
rosenbrock,10,4.785044352516094,4.670174702145452,0.004299822601869,16.629102912152717,3.475458022580496,0.0
rosenbrock,30,5847.192301619453,81.50999689574282,10.804788034368968,56598.72898619993,16990.42052334008,0.0
sphere,2,4.247281963952565e-09,3.357079258453271e-09,1.21736164168088e-10,9.799295875581793e-09,3.4362299685235263e-09,1.0
sphere,10,8.212750319151792e-09,8.364631880333443e-09,5.335418914491135e-09,9.956310899035658e-09,1.2202386949605952e-09,1.0
sphere,30,1.5364510253909123e-05,7.414250666094129e-06,1.3343597242570208e-06,0.0001041362213957,2.4645965874097884e-05,0.0
