# seed=164568775 fp_count=13
label	text
ham	aiyo u always c our ex one i dunno abt mei she haven reply first time u reply so fast y so lucky not workin huh got bao by ur sugardad ah gee
ham	ha ha nan yalrigu heltini iyo kothi chikku u shared many things wit me so far i didn t told any body and even uttered a word abt u if ur trusting me so much how can i tell these to others plz nxt time dont use those words to me ok chikku b
ham	the word checkmate in chess comes from the persian phrase shah maat which means the king is dead goodmorning have a good day
ham	nice talking to you please dont forget my pix i want to see all of you
ham	either way works for me i am lt gt years old hope that doesnt bother you
ham	did u receive my msg
ham	dear friends sorry for the late information today is the birthday of our loving ar praveesh for more details log on to face book and see its his number lt gt dont miss a delicious treat
ham	lol oh no babe i wont be sliding into your place after midnight but thanks for the invite
ham	i lost 4 pounds since my doc visit last week woot woot now i m gonna celebrate by stuffing my face
ham	in life when you face choices just toss a coin not becoz its settle the question but while the coin in the air u will know what your heart is hoping for gudni8
ham	nobody names their penis a girls name this story doesn t add up at all
ham	hmmm thk sure got time to hop ard ya can go 4 free abt muz call u to discuss liao
ham	i m used to it i just hope my agents don t drop me since i ve only booked a few things this year this whole me in boston them in nyc was an experiment
