# seed=10544862 tn_count=928
label	text
ham	Call me. I m unable to cal. Lets meet bhaskar, and deep
ham	Can you just come in for a sec? There's somebody here I want you to see
ham	Hey... Why dont we just go watch x men and have lunch... Haha 
ham	There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?
ham	Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.
ham	You bad girl. I can still remember them
ham	Ü still attending da talks?
ham	Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow
ham	1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)
ham	"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
ham	Rofl. Its true to its name
ham	Text her. If she doesnt reply let me know so i can have her log in
ham	Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... 
ham	A bloo bloo bloo I'll miss the first bowl
ham	What about this one then.
ham	He telling not to tell any one. If so treat for me hi hi hi
ham	K...k:)why cant you come here and search job:)
ham	I was gonna ask you lol but i think its at 7
ham	Where is that one day training:-)
ham	Yo! Howz u? girls never rang after india. L
ham	O ic lol. Should play 9 doors sometime yo
ham	Ok lor wat time ü finish?
ham	No de. But call me after some time. Ill tell you k
ham	, how's things? Just a quick question.
ham	Then she dun believe wat?
ham	Sorry sent blank msg again. Yup but trying 2 do some serious studying now.
ham	Meet after lunch la...
ham	Happy birthday... May all ur dreams come true...
ham	I'll pick you up at about 5.15pm to go to taunton if you still want to come.
ham	Aight, can you text me the address?
ham	S:-)kallis wont play in first two odi:-)
ham	K.i will send in  &lt;#&gt;  min:)
ham	I can take you at like noon
ham	Ok lor. Msg me b4 u call.
ham	Sorry, I'll call later
ham	God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U
ham	Enjoy ur life. . Good night
ham	Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.
ham	Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?
ham	You intrepid duo you! Have a great time and see you both soon. 
ham	Haha just kidding, papa needs drugs
ham	Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e
ham	Also andros ice etc etc
ham	U attend ur driving lesson how many times a wk n which day?
ham	LMAO where's your fish memory when I need it?
ham	Come to my home for one last time i wont do anything. Trust me.
ham	Should i send you naughty pix? :)
ham	Ay wana meet on sat?ü wkg on sat?
ham	Yeah, we got one lined up for us
ham	Oh oh... Wasted... Den muz chiong on sat n sun liao...
ham	1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya
ham	Feel like trying kadeem again? :V
ham	Can you say what happen
ham	Okay. I've seen it. So i should pick it on friday?
ham	I.ll hand her my phone to chat wit u
ham	Hui xin is in da lib.
ham	Call me, i am senthil from hsbc.
ham	Lol, oh you got a friend for the dog ?
ham	am up to my eyes in philosophy
ham	Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.
ham	Except theres a chick with huge boobs.
ham	I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...
ham	Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. 
ham	Are you this much buzy
ham	2mro i am not coming to gym machan. Goodnight.
ham	Tmr timin still da same wat cos i got lesson until 6...
ham	Wait . I will msg after  &lt;#&gt;  min.
ham	Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng
ham	HI ITS KATE CAN U GIVE ME A RING ASAP XXX
ham	Still in customer place
ham	Its sunny in california. The weather's just cool
ham	Mmmm.... I cant wait to lick it!
ham	Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
ham	Ok. No wahala. Just remember that a friend in need ...
ham	Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..
ham	To day class is there are no class.
ham	Ü predict wat time ü'll finish buying?
ham	Hey i'm bored... So i'm thinking of u... So wat r u doing?
ham	I guess it is useless calling u 4 something important.
ham	Where's my boytoy? I miss you ... What happened?
ham	Jordan got voted out last nite!
ham	On the road so cant txt
ham	Thought we could go out for dinner. I'll treat you! Seem ok?
ham	Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 
ham	Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)
ham	Hello which the site to download songs its urgent pls
ham	Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie
ham	No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
ham	HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!
ham	Yo my trip got postponed, you still stocked up?
ham	For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
ham	I said its okay. Sorry
ham	Aight I'll grab something to eat too, text me when you're back at mu
ham	After completed degree. There is no use in joining finance.
ham	Tiwary to rcb.battle between bang and kochi.
ham	How many times i told in the stage all use to laugh. You not listen aha.
ham	What Today-sunday..sunday is holiday..so no work..
ham	Awesome, be there in a minute
ham	So when do you wanna gym?
ham	It's justbeen overa week since we broke up and already our brains are going to mush!
ham	Ok lor...
ham	I was just callin to say hi. Take care bruv!
ham	Ya but it cant display internal subs so i gotta extract them
ham	Studying. But i.ll be free next weekend.
ham	Yes but i dont care! I need you bad, princess!
ham	That's cause your old. I live to be high.
ham	Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow.
ham	Oh god. I'm gonna Google nearby cliffs now.
ham	It certainly puts things into perspective when something like this happens
ham	Just arrived, see you in a couple days &lt;3
ham	It only does simple arithmetic not percentages.
ham	"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)"
ham	Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
ham	Just got some gas money, any chance you and the gang want to go on a grand nature adventure?
ham	Customer place i will call you
